
Aloo_Paratha,HaraDhaniya,Adrak,Lahsun,Mirch,Egg_Bhuji,Banana,Chutney,Kishan_Sauce,Tomato,Bhindi,Arahar_Dal,Sambhar,Plain_Rice,Roti,Curd,Green_chilli_fry,Salad,Lemon,null,Alu_Bonda,Kissan_Sauce,rs10-1,null,null,null,null,null,null,null,Garlic_Chicken,Kathai_Paneer,Chana_Dal,Plain_Rice,Tawa_Roti,Rasam,Gulab_Jamun,Green_chilli_fry,null,null
Idli,Vada,Sambar,Peanut_chutney,Boiled_Egg,Grapes,null,null,null,null,Green_chilli_fry,Mixed_Veg,Chana_chole,Sambhar,Veg_Pulav,Puri,Curd,Salad,Lemon,null,Samosa,Tikha_Chutney,Kissan_Sauce,rs10-1,null,null,null,null,null,null,Bhindi_Bhujiya,Aloo+Began+Tomatto,Dal_Makhani,Plain_Rice,Tawa_Roti,Rasam,Sewai/Kheer,null,null,null
Onion_Paratha,HaraDhaniya,Adrak,Lahsun,Mirch,Chutney,Kishan_sause,Boiled_Egg,Muskmelon,null,Papad,Beans+Aloo,Dal_Makhani,Sambhar,Plain_Rice,Tawa_Roti,Curd,Salad,Lemon,Green_chilli_fry,Litti_chokha,rs15-2,null,null,null,null,null,null,null,null,Chicken_butter_masala,Paneer+Mushroom+Matar,Toor_Dal,Plain_Rice,Tawa_Roti,Rasam,Kala_Jamun,null,null,null
Uttpam,Sambar&Peanut_Chutney,Boiled_Egg,Apple,null,null,null,null,null,null,Aloo+Soyabean,Curry_Pakora,Sambhar,Plain_Rice,Tawa_Roti,Curd,Salad,Lemon,null,null,Maggi,Kissan_Sauce,rs10-1,null,null,null,null,null,null,null,Papad,Parval+Aloo+Tomato(Rasdar),Karela_Bhuijya,Kali,Masoor_Dal_Tadka,Plain_Rice,Tawa_Roti,Rasam,null,null
Phoa+Jalebi,Namkeen+tomato+onion+Mirch,Egg_Bhuji,Banana,null,null,null,null,null,null,Luki_Kopfta,Egg_Curry,Moong_Dal,Jeera_Rice,Tawa_Roti,Matha,null,null,null,null,Bread_Pakoda,Kissan_Chutney,Tomato_Chutney,rs10-1,null,null,null,null,null,null,Chicken_Butter_Masala,Sahi_Paneer,Moong_Dal,Plain_Rice,Tawa_Roti,Rasam,Ice_Cream,null,null,null
Masala_Dosa,Sambar,Peanut_Chutney,Egg_Boiled,Grapes,null,null,null,null,null,Papad,Bhature,Chhole,Tomato_Chutney,Khichdi,Bundi_Raita,Salad,Lemon,Green_Chilli_fry,null,Kachuri,Kissan_sauce,rs10-1,null,null,null,null,null,null,null,Fryums,Aloo+Gazer+Matar+Tomato,Tawa_Roti,Palak_Dal,Fried_Rice,Rasam,Rash_Gulla,null,null,null
Pav_Bhaji,Sabji+Onion,Egg_Omelete,Banana,null,null,null,null,null,null,Aloo+Crispy,Arhar_Dal,Fried_Rice,Roti,Shambhar,Curd,Salad,Lemon,Green_Chilli_fry,null,Macaroni,Kissan_sauce,rs15-1,null,null,null,null,null,null,null,Chicken_Biryani,Veg_Biryani,Dal_Fry,Veg_Raita,Gravy,Ice_Cream,null,null,null,null

